iter	Passed	Remaining
406	5040	7343
407	5048	7325
408	5057	7307
409	5068	7293
410	5077	7276
411	5084	7257
412	5092	7238
413	5100	7219
414	5111	7205
415	5121	7189
416	5128	7170
417	5136	7151
418	5144	7133
419	5151	7114
420	5163	7101
421	5172	7084
422	5179	7065
423	5188	7048
424	5196	7030
425	5204	7012
426	5212	6995
427	5222	6980
428	5230	6961
429	5238	6943
430	5246	6925
431	5255	6910
432	5268	6898
433	5276	6880
434	5283	6862
435	5291	6845
436	5299	6827
437	5311	6815
438	5321	6800
439	5329	6783
440	5337	6765
441	5345	6748
442	5354	6732
443	5366	6719
444	5374	6702
445	5381	6684
446	5390	6668
447	5398	6651
448	5406	6634
449	5413	6616
450	5423	6601
451	5433	6587
452	5443	6572
453	5454	6560
454	5463	6544
455	5471	6527
456	5479	6510
457	5487	6493
458	5495	6477
459	5504	6461
460	5512	6444
461	5520	6428
462	5528	6412
463	5536	6395
464	5545	6380
465	5563	6375
466	5578	6366
467	5591	6356
468	5612	6354
469	5627	6345
470	5641	6336
471	5663	6335
472	5676	6324
473	5688	6312
474	5706	6306
475	5721	6298
476	5732	6285
477	5745	6274
478	5759	6264
479	5771	6252
480	5782	6239
481	5798	6231
482	5824	6234
483	5836	6222
484	5856	6218
485	5864	6202
486	5872	6186
487	5885	6174
488	5893	6158
489	5901	6142
490	5909	6125
491	5916	6109
492	5925	6093
493	5933	6077
494	5941	6061
495	5951	6047
496	5960	6031
497	5967	6015
498	5975	5999
499	5984	5984
500	5994	5970
501	6003	5956
502	6011	5939
503	6019	5923
504	6027	5907
505	6034	5891
506	6043	5876
507	6051	5860
508	6063	5848
509	6071	5833
510	6079	5817
511	6087	5801
512	6095	5786
513	6105	5772
514	6112	5756
515	6120	5741
516	6130	5727
517	6138	5711
518	6146	5696
519	6154	5680
520	6162	5665
521	6170	5650
522	6179	5635
523	6187	5620
524	6195	5605
525	6208	5594
526	6217	5580
527	6225	5565
528	6233	5549
529	6250	5542
530	6258	5528
531	6270	5515
532	6278	5500
533	6285	5485
534	6297	5473
535	6305	5458
536	6313	5443
537	6321	5428
538	6328	5413
539	6340	5401
540	6353	5390
541	6361	5375
542	6370	5361
543	6378	5346
544	6389	5334
545	6400	5322
546	6408	5307
547	6416	5292
548	6424	5277
549	6432	5262
550	6447	5254
551	6455	5239
552	6466	5226
553	6473	5211
554	6481	5196
555	6501	5192
556	6510	5178
557	6518	5163
558	6528	5150
559	6537	5136
560	6546	5123
561	6558	5111
562	6579	5106
563	6649	5140
564	6665	5131
565	6685	5126
