iter	Logloss
0	0.6553899246
1	0.6104821727
2	0.5696402427
3	0.5306862937
4	0.5042851404
5	0.4786239148
6	0.4472117365
7	0.4168723397
8	0.3944746917
9	0.3691689829
10	0.3511486533
11	0.3296519457
12	0.3083577089
13	0.2897487907
14	0.2730791786
15	0.2572893672
16	0.2425379237
17	0.2276094185
18	0.2188004068
19	0.2074730626
20	0.1968997828
21	0.1864192953
22	0.177558143
23	0.1695129256
24	0.1621182628
25	0.1552190345
26	0.1486340734
27	0.1416379995
28	0.1360299273
29	0.1306266966
30	0.1250006508
31	0.120132712
32	0.1157555812
33	0.1114063686
34	0.1078187568
35	0.1052843503
36	0.1028433041
37	0.1003755381
38	0.09797714936
39	0.09522617164
40	0.09257632278
41	0.09032343747
42	0.08895418429
43	0.08666410618
44	0.08450393059
45	0.08337765603
46	0.08098862369
47	0.07934466562
48	0.07812739371
49	0.07709681893
50	0.07596728776
51	0.07497080013
52	0.07381510279
53	0.07235936833
54	0.07153031992
55	0.0701018803
56	0.06899949455
57	0.06802746833
58	0.06742590648
59	0.06654014616
60	0.06590109522
61	0.06493714632
62	0.06417845882
63	0.06347141431
64	0.06290886238
65	0.06215464816
66	0.06114741127
67	0.06058568974
68	0.05953662522
69	0.05877742038
70	0.05807867961
71	0.0574959895
72	0.05712456914
73	0.05600829055
74	0.05566651331
75	0.05524330281
76	0.05467416414
77	0.05431713884
78	0.05407819578
79	0.05373209269
80	0.05323476506
81	0.05282796665
82	0.05259524854
83	0.05234040458
84	0.05201117493
85	0.05176195469
86	0.05128666164
87	0.05105371608
88	0.05064287164
89	0.05024374882
90	0.04996227027
91	0.04957738131
92	0.04928484982
93	0.04907926752
94	0.04894179582
95	0.04840801414
96	0.04799413705
97	0.04761188393
98	0.04717161347
99	0.04689578437
100	0.04654977241
101	0.04583252311
102	0.04541449525
103	0.04506618829
104	0.04494610122
105	0.04465673578
106	0.04447230749
107	0.04421972319
108	0.04406469741
109	0.04382038551
110	0.04370912021
111	0.04341157239
112	0.04326072261
113	0.04313121359
114	0.04291816853
115	0.04256333356
116	0.04242041124
117	0.04214752411
118	0.0418424424
119	0.04158861693
120	0.04150145753
121	0.04138481949
122	0.04123639974
123	0.04106802355
124	0.04084753273
125	0.04065037052
126	0.04053962715
127	0.04029218455
128	0.04009975168
129	0.03988285281
130	0.03963521783
131	0.03933736757
132	0.03922353324
133	0.03919182617
134	0.03880835716
135	0.038672042
136	0.03856208834
137	0.03839214687
138	0.03823579321
139	0.03810413607
140	0.0379086917
141	0.03784786677
142	0.03778511703
143	0.03759488254
144	0.03740410653
145	0.03727826199
146	0.03712451283
147	0.03692783116
148	0.03644522607
149	0.03634702406
150	0.03618194178
151	0.03598171919
152	0.0359081538
153	0.03573763844
154	0.03564371539
155	0.03548003711
156	0.03538791634
157	0.03528966053
158	0.03515590296
159	0.03507951732
160	0.03501167013
161	0.03479710665
162	0.03466073711
163	0.03440476898
164	0.03431502312
165	0.03418034505
166	0.0340081894
167	0.0339186264
168	0.03377414098
169	0.03370388159
170	0.03365662685
171	0.03347370263
172	0.03336750434
173	0.03330598209
174	0.03320731161
175	0.03312896145
176	0.03310833306
177	0.03301700361
178	0.03291254236
179	0.03277678608
180	0.03269000752
181	0.03256184522
182	0.03235125037
183	0.03224667012
184	0.03218824384
185	0.03210615452
186	0.03198264103
187	0.03183640027
188	0.03174106221
189	0.03156347415
190	0.03151033601
191	0.0314065926
192	0.03134165575
193	0.03130613895
194	0.03126416961
195	0.03108763227
196	0.03105212364
197	0.03093474252
198	0.03078846973
199	0.03072670017
200	0.03068067981
201	0.03056813567
202	0.0304939339
203	0.03045342717
204	0.03041806085
205	0.03025451101
206	0.03013792924
207	0.03003317999
208	0.02990392977
209	0.02980511693
210	0.02970554276
211	0.02962468038
212	0.02950177933
213	0.02948268542
214	0.02943373963
215	0.02929647608
216	0.02918343866
217	0.02916448603
218	0.02911934598
219	0.02905199895
220	0.02892152304
221	0.02883146368
222	0.02870061837
223	0.02860225802
224	0.02857292967
225	0.02847703865
226	0.02844836593
227	0.02839475165
228	0.02825967225
229	0.02818468395
230	0.02807146648
231	0.02802423796
232	0.02797228463
233	0.02793075475
234	0.02784101594
235	0.02779098024
236	0.02768937964
237	0.02753071602
238	0.02736690042
239	0.02732132195
240	0.02727072213
241	0.02714545983
242	0.02710679021
243	0.02703186028
244	0.02691468132
245	0.02683229312
246	0.02667687304
247	0.02663218036
248	0.02661361291
249	0.02652041566
250	0.02640782751
251	0.026368047
252	0.02625816322
253	0.02621930696
254	0.02611820641
255	0.02607330403
256	0.02596713996
257	0.02586207094
258	0.02574759461
259	0.02566535379
260	0.02563796574
261	0.02549839424
262	0.02534029905
263	0.02525282468
264	0.02510843073
265	0.02506190303
266	0.0249890955
267	0.02484231449
268	0.02468909037
269	0.02463425222
270	0.0245560738
271	0.02453454025
272	0.02449912249
273	0.02445300141
274	0.02438765375
275	0.02429964477
276	0.02422531331
277	0.02413499631
278	0.02410161372
279	0.02398896088
280	0.02396171274
281	0.02392739419
282	0.02383140803
283	0.02378462939
284	0.02375963929
285	0.02373296009
286	0.02362504327
287	0.02357306674
288	0.02350240342
289	0.02344450175
290	0.02333339473
291	0.02327736788
292	0.02318066965
293	0.0231105283
294	0.0230569603
295	0.02300894564
296	0.02293778375
297	0.02284490837
298	0.02280893482
299	0.02273341281
300	0.0226874034
301	0.02260192862
302	0.02257615679
303	0.02254150855
304	0.02243412149
305	0.02237639795
306	0.02234316354
307	0.02231964122
308	0.02230573104
309	0.02219083121
310	0.0221244849
311	0.0220236668
312	0.02197144778
313	0.02195427601
314	0.02189109131
315	0.02187463006
316	0.02179741463
317	0.02173556246
318	0.02159617287
319	0.0215757734
320	0.02150206835
321	0.02148146825
322	0.02141918266
323	0.02130509661
324	0.02122903786
325	0.02115368123
326	0.02109906928
327	0.02103066278
328	0.02101234706
329	0.020942592
330	0.02089661241
331	0.02079631096
332	0.02076358715
333	0.0206780979
334	0.02059568445
335	0.02055051108
336	0.0204696896
337	0.02041464558
338	0.02039194712
339	0.02029838053
340	0.02020337253
341	0.02012579316
342	0.02010310457
343	0.02007045594
344	0.02003978462
345	0.0200075774
346	0.01994742042
347	0.01983846672
348	0.01971528575
349	0.01966804536
350	0.01961711709
351	0.01956444267
352	0.01955138084
353	0.01951242462
354	0.0194238671
355	0.01939467695
356	0.01936289056
357	0.01933974136
358	0.01929814481
359	0.01924473578
360	0.01919536321
361	0.01917340952
362	0.01910238542
363	0.01908810046
364	0.0190432125
365	0.01893038146
366	0.01886452129
367	0.01878560879
368	0.01874165271
369	0.01870647104
370	0.01865173631
371	0.01860305836
372	0.01855285597
373	0.01852033365
374	0.01844840457
375	0.01837695067
376	0.01836030566
377	0.0182850867
378	0.01817830628
379	0.01809709953
380	0.01807126329
381	0.0180206831
382	0.01795752194
383	0.01792868849
384	0.01788813152
385	0.01783386697
386	0.01780721704
387	0.01779536389
388	0.01773924051
389	0.01769319039
390	0.01765327374
391	0.01762198738
392	0.0175964008
393	0.01757225716
394	0.01756345935
395	0.01750071024
396	0.01747266384
397	0.01743030638
398	0.01734858888
399	0.01733119217
400	0.01726181048
401	0.01724471334
402	0.01723387174
403	0.01719389065
404	0.01713697404
405	0.01709852167
406	0.01703941135
407	0.01698506471
408	0.0169624437
409	0.01691472941
410	0.01689362245
411	0.01682065449
412	0.01674934152
413	0.01672316736
414	0.01669292861
415	0.0165776719
416	0.01654103668
417	0.01652061835
418	0.01648107426
419	0.01646427051
420	0.01642609653
421	0.01636072264
422	0.01632953745
423	0.01629346407
424	0.01627842714
425	0.01620339898
426	0.01610030301
427	0.01601300738
428	0.01596718557
429	0.01591315134
430	0.0158923681
431	0.01581984877
432	0.01575081137
433	0.01567790658
434	0.01563295242
435	0.01552543241
436	0.0154809626
437	0.01541243266
438	0.01537460163
439	0.01533289915
440	0.01525310748
441	0.015234685
442	0.01520066965
443	0.01518647359
444	0.01512625531
445	0.01509298813
446	0.01507599788
447	0.0149977519
448	0.01496798306
449	0.014954967
450	0.01492630753
451	0.01491242819
452	0.01488840881
453	0.01485656289
454	0.01482892586
455	0.01479380843
456	0.01475797879
457	0.01474525993
458	0.01470924769
459	0.01467336713
460	0.01465109491
461	0.01460968198
462	0.01455516298
463	0.01451325152
464	0.01447257447
465	0.01440061621
466	0.01431153229
467	0.01429444324
468	0.01428714371
469	0.01425554594
470	0.0141922146
471	0.0141731267
472	0.01406848255
473	0.01402392421
474	0.01396635427
475	0.01393742577
476	0.01389455965
477	0.0138487154
478	0.01383087982
479	0.01381875718
480	0.01379983652
481	0.01378814117
482	0.01375579321
483	0.01368195319
484	0.01363922349
485	0.01360597796
486	0.01360113865
487	0.01357174119
488	0.01356274908
489	0.01351854807
490	0.01345895052
491	0.01342011112
492	0.01332588521
493	0.01328332295
494	0.01326713899
495	0.01325920328
496	0.01324481093
497	0.01322367523
498	0.01319784082
499	0.01318881586
500	0.01316449212
501	0.01310224371
502	0.01308634566
503	0.01307298876
504	0.01303926535
505	0.01299589314
506	0.01298909172
507	0.01294442552
508	0.01290965787
509	0.01287811417
510	0.01283912796
511	0.01279297092
512	0.01275309745
513	0.01271161809
514	0.01268419598
515	0.01259537601
516	0.01256868596
517	0.01255252543
518	0.01253595773
519	0.01252812366
520	0.01251845088
521	0.01245508272
522	0.01243153551
523	0.01241856062
524	0.0124140378
525	0.01236420471
526	0.01233816775
527	0.01232730587
528	0.01230335233
529	0.01228107743
530	0.01224606581
531	0.01222493774
532	0.01220271297
533	0.01217862895
534	0.01216694621
535	0.01214717021
536	0.01212946601
537	0.01205141935
538	0.01204063587
539	0.01200610541
540	0.01195485904
541	0.01194695932
542	0.01190795152
